	brand	model	spec	year	dB_at_idle	dB_at_50kmh	dB_at_80kmh	dB_at_100kmh	dB_at_120kmh	dB_at_140kmh	model_id	model_id_cqa	model_make_id_cqa	model_name_cqa	model_trim_cqa	model_year_cqa	model_body_cqa	model_engine_position_cqa	model_engine_cc_cqa	model_engine_cyl_cqa	model_engine_type_cqa	model_engine_valves_per_cyl_cqa	model_engine_power_ps_cqa	model_engine_power_rpm_cqa	model_engine_torque_nm_cqa	model_engine_torque_rpm_cqa	model_engine_bore_mm_cqa	model_engine_stroke_mm_cqa	model_engine_compression_cqa	model_engine_fuel_cqa	model_top_speed_kph_cqa	model_0_to_100_kph_cqa	model_drive_cqa	model_transmission_type_cqa	model_seats_cqa	model_doors_cqa	model_weight_kg_cqa	model_length_mm_cqa	model_width_mm_cqa	model_height_mm_cqa	model_wheelbase_mm_cqa	model_lkm_hwy_cqa	model_lkm_mixed_cqa	model_lkm_city_cqa	model_fuel_cap_l_cqa	model_sold_in_us_cqa	model_co2_cqa	model_make_display_cqa	model_engine_l_cqa	model_engine_ci_cqa	model_engine_bore_in_cqa	model_engine_stroke_in_cqa	model_engine_valves_cqa	model_engine_power_hp_cqa	model_engine_power_kw_cqa	model_engine_torque_lbft_cqa	model_engine_torque_kgm_cqa	model_top_speed_mph_cqa	model_weight_lbs_cqa	model_length_in_cqa	model_width_in_cqa	model_height_in_cqa	model_wheelbase_in_cqa	model_mpg_hwy_cqa	model_mpg_city_cqa	model_mpg_mixed_cqa	model_fuel_cap_g_cqa	make_display_cqa	make_country_cqa	ExtColors_cqa	IntColors_cqa
34	Audi	A1	1.4	2014	 38.2 	 59.1 	 63.3 	 66.1 	 69.1 	 71.3 	nan																																																												
35	Audi	A1	1.0	2018	 39.1 	 53.1 	 59.8 	 68.3 	 70.7 	 72.8 	nan																																																												
36	Audi	A1	1.6 TDI	2018	 46.9 	 56.0 	 62.0 	 67.3 	 69.7 	 72.8 	nan																																																												
37	Audi	A3	2.0 TFSI Cabrio	2008	 46.1 	 62.0 	 63.0 	 65.0 	 68.0 	 68.2 	2979	2979	audi	A3	2.0 FSi Ambition	2008	Hatchback	Front	1984	4	in-line	4			200	3500	82.5	92.8	11.5:1	Gasoline	211.0	9.1	Front	Manual	5	3	1278	4210	1770	1430	2580		6.9		55	1		Audi	2.0	121	3.25	3.65	16			148	20	131.0	2817	165.7	69.7	56.3	101.6			34.0	14.5	Audi	Germany		
38	Audi	A3	1.4 TFSI S-Tronic	2009	 45.0 	 55.4 	 63.7 	 68.6 	 69.2 	 70.2 	1862	1862	audi	A3	1.4 TFSi	2009	Hatchback	Front	1390	4	in-line	4	125	6000	200	1500			12.5:1	Gasoline - Premium	203.0	9.3	Front	Manual	5	3	1302	4250	1770	1430	2580		5.6		55	1		Audi	1.4	85			16	123	92	148	20	126.0	2870	167.3	69.7	56.3	101.6			42.0	14.5	Audi	Germany		
39	Audi	A3	1.2 TSI Cabrio	2010	 39.9 	 60.3 	 65.5 	 67.8 	 70.9 	 72.9 	44371	44371	audi	A3	2.0 TDI Premium	2010	Hatchback	Front	2000	4	in-line	4	142	4200	320	1750				Diesel			Front	Manual	5	5		4293	1765	1422	2578	5.6		7.8	55	1		Audi	2.0	122			16	140	104	236	33			169.0	69.5	56.0	101.5	42	30		14.5	Audi	Germany		
40	Audi	A3	1.4 TFSI Stationcar	2010	 36.6 	 61.5 	 65.0 	 66.5 	 68.0 	 69.9 	44370	44370	audi	A3	2.0T PZEV Premium	2010	Hatchback	Front	2000	4	in-line	4	203	5100	280	1800				Gasoline			Front	Manual	5	5	1460	4293	1765	1422	2578	7.8		11.2	60	1		Audi	2.0	122			16	200	149	207	29		3219	169.0	69.5	56.0	101.5	30	21		15.9	Audi	Germany		
41	Audi	A3	1.2 TFSI Stationcar	2011	 37.1 	 58.5 	 64.0 	 65.4 	 68.3 	 71.6 	53546	53546	audi	A3	1.2 TFSi Automatic	2011	Hatchback	Front	1200	4	in-line		105							Gasoline			Front	Automatic	5	3										0		Audi	1.2	73				104	77													Audi	Germany		
42	Audi	A3	1.4 TFSI	2012	 38.2 	 57.6 	 61.4 	 62.5 	 65.1 	 68.1 	50722	50722	audi	A3	1.4 TFSi	2012	Hatchback	Front	1400	4	in-line		125							Gasoline			Front	Manual	5	3										0		Audi	1.4	85				123	92													Audi	Germany		
43	Audi	A3	1.8 TFSI	2012	 44.5 	 58.0 	 62.7 	 65.9 	 68.7 	 70.7 	50725	50725	audi	A3	1.8 TFSi	2012	Hatchback	Front	1800	4	in-line		160							Gasoline			Front	Manual	5	3										0		Audi	1.8	110				158	118													Audi	Germany		
44	Audi	A3	1.8 Stationcar	2013	 47.2 	 58.2 	 61.2 	 65.2 	 67.9 	 70.6 	58394	58394	audi	A3	2.0 TDI Premium	2013	Sedan	Front 	1984	4	W	4	140		320	2500	81.0	95.5	16.5:1	Gasoline - Premium	209.0		AWD	CVT	5	4	1505	4292	1995	1423	2578	4.7		6.7		1		Audi	2.0	121	3.19	3.76	16	138	103	236	33	130.0	3318	169.0	78.5	56.0	101.5	50	35			Audi	Germany		
45	Audi	A3	2.0 TDI	2013	 43.0 	 53.0 	 60.9 	 63.5 	 66.3 	 69.5 	58394	58394	audi	A3	2.0 TDI Premium	2013	Sedan	Front 	1984	4	W	4	140		320	2500	81.0	95.5	16.5:1	Gasoline - Premium	209.0		AWD	CVT	5	4	1505	4292	1995	1423	2578	4.7		6.7		1		Audi	2.0	121	3.19	3.76	16	138	103	236	33	130.0	3318	169.0	78.5	56.0	101.5	50	35			Audi	Germany		
46	Audi	A3	2.0	2014	 40.4 	 51.7 	 58.6 	 62.5 	 64.9 	 67.2 	nan																																																												
47	Audi	A3	1.8 TFSI Cabrio	2014	 39.2 	 55.6 	 60.2 	 64.4 	 67.4 	 71.3 	nan																																																												
48	Audi	A3	G-Tron	2014	 42.5 	 54.0 	 59.5 	 62.9 	 65.5 	 70.4 	nan																																																												
49	Audi	A3	1.0	2016	 39.9 	 56.8 	 59.5 	 62.2 	 66.2 	 69.6 	68727	68727	Audi	A3	1.8 TFSI Premium Plus 4dr Sedan (1.8L 4cyl Turbo 6AM)	2016	Compact Cars	Front	1800	4	Inline	4	170		200				9.6	Premium Unleaded (Recommended)			Front Wheel Driv	Automated Manual		4	3175					33.0	27.0	23.0	15	1		Audi	1.8	110			16	168	125	148	20		7000					7	10	9.0	4.0	Audi	Germany		
50	Audi	A3	1.4 Cabrio	2016	 40.0 	 57.6 	 62.1 	 65.7 	 69.9 	 72.6 	68222	68222	Audi	A3	1.8 TFSI Premium Plus 2dr Convertible (1.8L 4cyl Turbo 6AM)	2016	Compact Cars	Front	1800	4	Inline	4	170		200				9.6	Premium Unleaded (Recommended)			Front Wheel Driv	Automated Manual		2						35.0	28.0	24.0	13	1		Audi	1.8	110			16	168	125	148	20							7	10	8.0	3.4	Audi	Germany		
51	Audi	A3	2.0 TDI Stationcar	2016	 42.9 	 59.8 	 62.0 	 64.3 	 67.2 	 70.6 	68225	68225	Audi	A3	2.0 TFSI Premium quattro 2dr Convertible AWD (2.0L 4cyl Turbo 6A	2016	Compact Cars	Front	2000	4	Inline	4	220		258				9.6	Premium Unleaded (Recommended)			All Wheel Drive	Automated Manual		2						32.0	26.0	23.0	13	1		Audi	2.0	122			16	217	162	190	26							7	10	9.0	3.4	Audi	Germany		
52	Audi	A3	1.6 TDI Stationcar	2018	 45.9 	 55.0 	 60.5 	 65.3 	 67.7 	 69.8 	73369	73369	Audi	A3	2.0 TFSI Premium quattro 2dr Convertible AWD (2.0L 4cyl Turbo 6A	2018	Compact Cars	Front	2000	4	Inline	4	220		258				9.6	Premium Unleaded (Recommended)			All Wheel Drive	Automated Manual		2						32.0	26.0	23.0	13	1		Audi	2.0	122			16	217	162	190	26							7	10	9.0	3.4	Audi	Germany		
53	Audi	A3	E-tron	2018	 42.9 	 55.0 	 61.0 	 67.8 	 70.2 	 71.8 	73364	73364	Audi	A3	2.0 TDI Premium Plus 4dr Sedan (2.0L 4cyl Turbodiesel 6AM)	2018	Compact Cars	Front	2000	4	Inline	4	150		236				16.2	Diesel			Front Wheel Driv	Automated Manual		4	3241					43.0	36.0	31.0	13	1		Audi	2.0	122			16	148	110	174	24		7145					5	8	7.0	3.4	Audi	Germany		
54	Audi	A4	1.8 TFSI	2008	 41.6 	 57.8 	 61.5 	 64.3 	 66.4 	 69.7 	2849	2849	audi	A4	1.8 T	2008	Sedan	Front	1780	4	in-line	5	190	5700	240	1950	81.0	86.4	9.0:1	Gasoline - Premium	237.0	8.2	Front	Manual	5	4	1395	4550	1780	1430	2660		8.6		70	1		Audi	1.8	109	3.19	3.40	20	187	140	177	24	147.0	3075	179.1	70.1	56.3	104.7			27.0	18.5	Audi	Germany		
55	Audi	A4	2.0 TDI	2008	 43.2 	 53.1 	 61.1 	 65.2 	 66.4 	 68.0 	3391	3391	audi	A4	2.0 TDi	2008	Sedan	Front	1968	4	in-line	4	140	4000	320	1750	81.0	95.5	18.0:1	Diesel	212.0	10.0	Front	Manual	5	4	1430	4590	1780	1430	2650		5.7		70	1		Audi	2.0	120	3.19	3.76	16	138	103	236	33	132.0	3153	180.7	70.1	56.3	104.3			41.0	18.5	Audi	Germany		
56	Audi	A4	2.0 TDI Stationcar	2008	 44.3 	 54.5 	 62.7 	 64.8 	 68.2 	 72.0 	2711	2711	audi	A4	2.0 TDI Multitronic	2008	Sedan	Front	1968			4			321	1750	81.0	95.5		Diesel	206.0	9.8	Front	Automatic	5	4	1470	4590	1780	1430	2650		5.8		70	1		Audi	2.0	120	3.19	3.76				237	33	128.0	3241	180.7	70.1	56.3	104.3			41.0	18.5	Audi	Germany		
57	Audi	A4	3.2 V6	2009	 43.9 	 53.8 	 59.9 	 63.1 	 65.8 	 68.4 	2156	2156	audi	A4	3.2 FSi	2009	Sedan	Front	3189	6	V	4	255	6500	330	3250	84.5	92.8	12.5:1	Gasoline - Premium	228.0	6.8	Front	Manual	5	4	895	4550	1780	1430	2660		9.5		70	1		Audi	3.2	195	3.33	3.65	24	252	188	243	34	142.0	1973	179.1	70.1	56.3	104.7			25.0	18.5	Audi	Germany		
58	Audi	A4	1.8 TFSI	2011	 45.5 	 56.0 	 64.4 	 67.4 	 70.1 	 73.2 	50691	50691	audi	A4	1.8 TSFI	2011	Sedan	Front	1800	4	in-line		170							Gasoline			Front	Manual	5	4										0		Audi	1.8	110				168	125													Audi	Germany		
59	Audi	A4	2.0 TFSI Allroad	2011	 42.8 	 52.6 	 60.5 	 64.4 	 65.8 	 67.6 	50695	50695	audi	A4	2.0 TDI Avant	2011	Station Wagon	Front	2000	4	in-line		177							Diesel			Front	Manual	5	5										0		Audi	2.0	122				175	130													Audi	Germany		
60	Audi	A4	2.0 TDI	2012	 43.6 	 53.6 	 61.6 	 63.7 	 67.1 	 70.9 	nan																																																												
61	Audi	A4	2.0 TDIe	2012	 42.9 	 57.2 	 60.9 	 63.3 	 66.0 	 69.3 	50739	50739	audi	A4	2.0 TDI	2012	Sedan	Front	2000	4	in-line		177							Diesel			Front	Manual	5	4										0		Audi	2.0	122				175	130													Audi	Germany		
62	Audi	A4	2.0 TFSI	2012	 44.4 	 54.0 	 59.9 	 63.2 	 65.2 	 67.2 	50739	50739	audi	A4	2.0 TDI	2012	Sedan	Front	2000	4	in-line		177							Diesel			Front	Manual	5	4										0		Audi	2.0	122				175	130													Audi	Germany		
63	Audi	A4	2.0 T	2014	 43.2 	 53.2 	 59.4 	 62.9 	 64.7 	 66.4 	58841	58841	Audi	A4	2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT)	2014	Compact Cars	Front	2000	4	Inline	4	220		258				9.6	Premium Unleaded (Required)			Front Wheel Driv	Automatic		4	1595	4702				32.0	27.0	24.0	61	1		Audi	2.0	122			16	217	162	190	26		3516	185.1				7	10	9.0	16.1	Audi	Germany		
64	Audi	A4	2.0 TDI Stationcar	2014	 41.0 	 55.2 	 59.1 	 62.9 	 66.6 	 68.3 	58840	58840	Audi	A4	2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M)	2014	Compact Cars	Front	2000	4	Inline	4	220		258				9.6	Premium Unleaded (Required)			All Wheel Drive	Manual		4	1645	4702				32.0	26.0	22.0	61	1		Audi	2.0	122			16	217	162	190	26		3627	185.1				7	11	9.0	16.1	Audi	Germany		
